category_id,category_name
10,"Material, Accesorios y Suministros de Plantas y Animales Vivos"
11,Materiales de Minerales y Tejidos y de Plantas y Animales no Comestibles
12,Productos químicos incluyendo los bio-químicos y gases industriales
13,Resina y Colofonia y Caucho y Espuma y Película y Materiales Elastoméricos
14,Materiales y Productos de Papel
15,"Combustibles, Aditivos para combustibles, Lubricantes y Materiales Anticorrosivos"
20,Maquinaria y acesorios para la perforación de pozos y minería
21,"Maquinaria y Accesorios para Agricultura, Pesca, Silvicultura y Fauna."
22,Maquinaria y Accesorios para Construcción y Edificación
23,Maquinaria y Accesorios de Fabricación y Transformación Industrial
86,Servicios Educativos y de Formación
90,"Servicios de Viajes, Alimentación, Alojamiento y Entretenimiento"
91,Servicios Personales y Domésticos
92,"Servicios de Defensa Nacional, Orden Público y Seguridad"
93,Servicios Políticos y de Asuntos Cívicos
94,Organizaciones y Clubes
95,"Terrenos, edificios, estructuras y vías"
73,Servicios de manufactura y producción industrial
76,Servicios de Limpieza Industrial
77,Servicios Medioambientales
78,"Servicios de Transporte, Almacenaje y Correo"
80,"Servicios de Gestión, Profesionales de Empresa y Administrativos"
81,"Servicios basados en ingeniería, investigación y tecnología"
82,"Servicios Editoriales, de Diseño, Gráficos y de Bellas Artes"
83,Servicios Públicos y Servicios Relacionados con el Sector Público
84,"Servicios financieros, de auditoria y de seguros"
85,Servicios para Cuidado de la Salud
10,"Material, Accesorios y Suministros de Plantas y Animales Vivos"
11,Materiales de Minerales y Tejidos y de Plantas y Animales no Comestibles
12,Productos químicos incluyendo los bio-químicos y gases industriales
13,Resina y Colofonia y Caucho y Espuma y Película y Materiales Elastoméricos
14,Materiales y Productos de Papel
15,"Combustibles, Aditivos para combustibles, Lubricantes y Materiales Anticorrosivos"
20,Maquinaria y acesorios para la perforación de pozos y minería
21,"Maquinaria y Accesorios para Agricultura, Pesca, Silvicultura y Fauna."
22,Maquinaria y Accesorios para Construcción y Edificación
23,Maquinaria y Accesorios de Fabricación y Transformación Industrial
52,"Accesorios, suministros y productos electrónicos de consumo"
53,"Ropa, Maletas y Productos de Aseo Personal"
54,"Productos para Relojería, Joyería y Gemas"
55,Productos Publicados
56,Muebles y mobiliario
60,"Instrumentos musicales, juegos, juguetes, artesanía y equipamiento, material, accesorios y suministros para educación"
64,"Instrumentos financieros, productos, contratos y acuerdos"
70,"Servicios de Contratación Agrícola, Pesquera, Forestal y de Fauna"
71,"Servicios de Perforación de Minería, Petróleo y Gas"
72,"Servicios de construcción, mantenimiento y reparación de instalaciones o edificaciones"
42,"Equipo, Accesorios y Suministros Médicos"
43,Telecomunicaciones y radiodifusión de tecnología de la información
44,"Equipo, Accesorios y Suministros de Oficina"
45,"Equipo y Suministros de Imprenta, Fotográficos y Audiovisuales"
46,"Equipos y Suministros de Defensa, Orden Público, Protección y Seguridad"
47,Equipo y Suministros de limpieza
48,"Maquinaria, Equipo y Suministros para la Industria de Servicios"
49,"Equipos, suministros y accesorios deportivos y recreativos"
50,"Alimentos, Bebidas y Tabaco"
51,Medicamentos y Productos Farmacéuticos
24,"Maquinaria, Accesorios y Suministros para Manejo, Acondicionamiento y Almacenamiento de Materiales"
25,"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes"
26,Maquinaria y Accesorios para Generación y Distribución de Energía
27,Herramientas y Maquinaria en General
30,"Componentes y Suministros de Fabricación, Estructuras, Obras y Construcciones"
31,Componentes y Suministros de Fabricación
32,Componentes y Suministros Electrónicos
39,"Suministros, componentes y accesorios eléctricos y de iluminación"
40,"Sistemas, Equipos y Componentes de Distribución y Acondicionamiento"
41,"Equipo de Laboratorio, Medida, Observación y Comprobación"
